FID,Name,Class,County,State,Latitude,Longitude
34761,Squaw Butte,Summit,Yavapai,Arizona,34.27292837,-111.6948566
34762,Squaw Canyon,Valley,Maricopa,Arizona,33.47314641,-111.3634057
34763,Squaw Coxcombs,Summit,Coconino,Arizona,35.45501662,-112.0434394
34764,Squaw Creek,Stream,Yavapai,Arizona,34.2853092,-111.6901464
34765,Squaw Creek,Stream,Greenlee,Arizona,33.3889478,-109.1895177
34766,Squaw Creek,Stream,Apache,Arizona,33.7611621,-109.6523142
34767,Squaw Creek,Stream,Yavapai,Arizona,34.0861443,-112.1121024
34768,Squaw Creek Mesa,Summit,Yavapai,Arizona,34.0697508,-112.059246
34769,Squaw Creek Tank,Reservoir,Yavapai,Arizona,34.28054262,-111.710791
34770,Squaw Flat,Flat,Maricopa,Arizona,33.9711508,-111.5276376
34771,Squaw Flat Spring,Spring,Maricopa,Arizona,33.97038961,-111.518789
34772,Squaw Gulch,Valley,Santa Cruz,Arizona,31.5129475,-110.7994575
34773,Squaw Mesa,Summit,Gila,Arizona,34.00971938,-110.9571827
34774,Squaw Mountain,Summit,Yavapai,Arizona,34.07910673,-111.9856539
34775,Squaw Mountain,Summit,Coconino,Arizona,35.42347487,-112.0130992
34776,Squaw Nest Mountain,Summit,Gila,Arizona,34.14478422,-111.2367679
34777,Squaw Peak,Summit,Santa Cruz,Arizona,31.58628938,-110.8377641
34778,Squaw Peak,Summit,Gila,Arizona,33.56486638,-110.8630729
34779,Squaw Peak,Summit,Gila,Arizona,34.00976595,-110.9572042
34780,Squaw Peak,Summit,Yavapai,Arizona,34.46946603,-111.8754176
34781,Squaw Peak Canyon,Valley,Yavapai,Arizona,34.51271621,-111.8484976
34783,Squaw Peak Tank,Reservoir,Yavapai,Arizona,34.46256373,-111.8969061
34784,Squaw Peak Tank,Reservoir,Yavapai,Arizona,34.50845546,-111.8516581
34785,Squaw Spring,Spring,Gila,Arizona,33.28086,-110.81679
34786,Squaw Tank,Reservoir,Navajo,Arizona,34.5858392,-110.5992805
34787,Squaw Wash,Stream,Navajo,Arizona,34.6444753,-110.5709607
35713,Upper Squaw Tank,Reservoir,Navajo,Arizona,34.58213517,-110.6343875
37080,Squaw Flat,Flat,Maricopa,Arizona,33.6311596,-111.2006805
38087,Squaw Tank,Reservoir,Coconino,Arizona,35.11310966,-111.3748798
38842,Squaw Peak,Summit,Yavapai,Arizona,35.21542035,-113.1017597
39809,Squaw Basin Tank,Reservoir,Gila,Arizona,34.29074917,-111.6114518
39810,Squaw Tank,Reservoir,Gila,Arizona,34.0059473,-110.9419798
42003,Squaw Tank South,Reservoir,Navajo,Arizona,34.58545837,-110.6000575
42904,Squaw Creek,Stream,Graham,Arizona,32.8036775,-110.3014769
42915,Squaw Tank,Reservoir,Graham,Arizona,32.7506233,-110.3478667
43000,Squaw Peaks Cove,Bay,Mohave,Arizona,35.7563753,-114.6930315
148594,Squaw Shoals (historical),Bar,Tuscaloosa,Alabama,33.4640011,-87.3513898
160663,Squaw Creek,Stream,Winston,Alabama,34.0887149,-87.4214043
169845,Squaw Mountain,Summit,Routt,Colorado,40.97765408,-107.2300464
